code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
V,维萨,US,USD,Q3,2016-06-30,2016-07-25,3630000000.0,2998000000.0,553000000.0,422000000.0,10000000.0,412000000.0,412000000.0,0.1734736842105263,63867000000.0,14374000000.0,49493000000.0,5887000000.0,1066000000.0,2136000000.0,31040000000.0,7783000000.0,23257000000.0,115000000.0,32827000000.0,32827000000.0,303000000.0,-8313000000.0,-132000000.0,-1984000000.0
V,维萨,US,USD,Q4,2016-09-30,2016-11-15,4261000000.0,3410000000.0,2645000000.0,2510000000.0,579000000.0,1931000000.0,1931000000.0,0.8217021276595745,64035000000.0,14313000000.0,49722000000.0,5619000000.0,1041000000.0,2150000000.0,31123000000.0,8046000000.0,23077000000.0,203000000.0,32912000000.0,32912000000.0,2452000000.0,-757000000.0,-141000000.0,-1991000000.0
V,维萨,US,USD,Q1,2016-12-31,2017-02-02,4461000000.0,3745000000.0,3119000000.0,2979000000.0,909000000.0,2070000000.0,2070000000.0,0.8876500857632933,63370000000.0,14689000000.0,48681000000.0,5824000000.0,1120000000.0,2201000000.0,31644000000.0,10341000000.0,21303000000.0,118000000.0,31726000000.0,31726000000.0,2508000000.0,-417000000.0,-171000000.0,-1730000000.0
V,维萨,US,USD,Q2,2017-03-31,2017-04-21,4477000000.0,3623000000.0,2837000000.0,2702000000.0,2272000000.0,430000000.0,430000000.0,0.18550474547023296,63227000000.0,15505000000.0,47722000000.0,6427000000.0,1081000000.0,2133000000.0,32444000000.0,10206000000.0,22238000000.0,120000000.0,30783000000.0,30783000000.0,396000000.0,2685000000.0,-146000000.0,-2513000000.0
V,维萨,US,USD,Q3,2017-06-30,2017-07-20,4565000000.0,3709000000.0,3054000000.0,2914000000.0,855000000.0,2059000000.0,2059000000.0,0.8967770034843205,64000000000.0,15718000000.0,48282000000.0,7437000000.0,1105000000.0,2202000000.0,32056000000.0,9511000000.0,22545000000.0,130000000.0,31944000000.0,31944000000.0,3537000000.0,-681000000.0,-195000000.0,-2061000000.0
V,维萨,US,USD,Q4,2017-09-30,2017-11-16,4855000000.0,4033000000.0,3247000000.0,3099000000.0,959000000.0,2140000000.0,2140000000.0,0.9381850065760632,67977000000.0,19023000000.0,48954000000.0,9874000000.0,1132000000.0,2253000000.0,35217000000.0,9994000000.0,25223000000.0,179000000.0,32760000000.0,32760000000.0,2767000000.0,-852000000.0,-195000000.0,380000000.0
V,维萨,US,USD,Q1,2017-12-31,2018-02-01,4862000000.0,4023000000.0,3393000000.0,3239000000.0,717000000.0,2522000000.0,2522000000.0,1.1124834583149537,67154000000.0,17287000000.0,49867000000.0,8138000000.0,1281000000.0,2238000000.0,33753000000.0,8363000000.0,25390000000.0,108000000.0,33401000000.0,33401000000.0,2762000000.0,-707000000.0,-141000000.0,-3871000000.0
V,维萨,US,USD,Q2,2018-03-31,2018-04-27,5073000000.0,4080000000.0,3336000000.0,3217000000.0,612000000.0,2605000000.0,2605000000.0,1.1602013094018617,69042000000.0,18536000000.0,50506000000.0,8142000000.0,1259000000.0,2366000000.0,34939000000.0,9551000000.0,25388000000.0,136000000.0,34103000000.0,34103000000.0,2820000000.0,-430000000.0,-213000000.0,-2512000000.0
V,维萨,US,USD,Q3,2018-06-30,2018-07-27,5240000000.0,4219000000.0,2967000000.0,2812000000.0,483000000.0,2329000000.0,2329000000.0,1.0437856658514473,68175000000.0,18491000000.0,49684000000.0,8505000000.0,1220000000.0,2387000000.0,34857000000.0,10934000000.0,23923000000.0,145000000.0,33318000000.0,33318000000.0,3637000000.0,-168000000.0,-169000000.0,-2811000000.0
V,维萨,US,USD,Q4,2018-09-30,2018-11-16,5434000000.0,4431000000.0,3688000000.0,3538000000.0,693000000.0,2845000000.0,2845000000.0,1.2807809477418863,69225000000.0,18216000000.0,51009000000.0,8162000000.0,1208000000.0,2472000000.0,35219000000.0,11305000000.0,23914000000.0,183000000.0,34006000000.0,34006000000.0,3494000000.0,-1779000000.0,-195000000.0,-2046000000.0
