country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,V,2016-06-23,77.76,78.24,76.87,78.23,72.47,72.92,71.64,72.91,13566200.0,1055111205.0,0.9319953981848395,23.75,1857.9625,23.75,1857.9625,0.005712084210526316
US,V,2016-06-24,74.8,76.04,74.45,75.05,69.71,70.86,69.38,69.94,18375000.0,1379686875.0,0.9319120586275816,23.75,1782.4375,23.75,1782.4375,0.007736842105263158
US,V,2016-06-27,74.18,74.58,73.25,73.34,69.13,69.51,68.27,68.35,16346791.0,1207006180.4625,0.9319607308426505,23.75,1741.825,23.75,1741.825,0.006882859368421052
US,V,2016-06-28,75.04,75.5,74.49,75.16,69.93,70.36,69.42,70.04,14815204.0,1111844022.19,0.9318786588610964,23.75,1785.05,23.75,1785.05,0.006237980631578948
US,V,2016-06-29,75.98,76.76,75.71,76.74,70.81,71.54,70.56,71.52,12178124.0,929160415.89,0.9319781078967944,23.75,1822.575,23.75,1822.575,0.005127631157894737
US,V,2016-06-30,76.99,77.14,73.8,74.17,71.75,71.89,68.78,69.12,24877318.0,1878859441.95,0.931913172441688,23.5,1742.995,23.5,1742.995,0.010586092765957447
US,V,2016-07-01,74.5,75.94,74.1,74.48,69.43,70.77,69.06,69.41,13821423.0,1033220476.365,0.9319280343716433,23.5,1750.28,23.5,1750.28,0.005881456595744681
US,V,2016-07-05,74.25,74.97,73.83,74.67,69.2,69.87,68.81,69.59,11081000.0,824758830.0,0.9319673228873712,23.5,1754.745,23.5,1754.745,0.004715319148936171
US,V,2016-07-06,74.12,74.75,73.83,74.06,69.08,69.66,68.81,69.02,11263807.0,835661841.33,0.9319470699432891,23.5,1740.41,23.5,1740.41,0.004793109361702128
US,V,2016-07-07,74.32,75.29,74.27,74.51,69.26,70.17,69.22,69.44,8806700.0,656957803.25,0.9319554422225204,23.5,1750.985,23.5,1750.985,0.003747531914893617
US,V,2016-07-08,75.3,76.55,74.79,76.42,70.18,71.34,69.7,71.22,10975000.0,831520875.0,0.9319549856058623,23.5,1795.87,23.5,1795.87,0.004670212765957447
US,V,2016-07-11,76.81,77.19,76.39,76.52,71.58,71.93,71.19,71.31,8185921.0,628085253.5275,0.9319132253005751,23.5,1798.22,23.5,1798.22,0.0034833706382978724
US,V,2016-07-12,76.68,77.57,76.55,77.48,71.46,72.29,71.34,72.21,10245511.0,789621532.77,0.9319824470831181,23.5,1820.78,23.5,1820.78,0.004359791914893617
US,V,2016-07-13,77.68,77.78,77.2,77.46,72.4,72.49,71.95,72.19,6559200.0,508534776.0,0.9319648851019882,23.5,1820.31,23.5,1820.31,0.0027911489361702128
US,V,2016-07-14,78.06,78.54,77.69,78.14,72.75,73.19,72.4,72.82,6607400.0,516087495.5,0.9319170719221909,23.5,1836.29,23.5,1836.29,0.0028116595744680853
US,V,2016-07-15,78.65,78.75,78.05,78.3,73.3,73.39,72.74,72.97,8153431.0,639534744.0625,0.9319284802043423,23.5,1840.05,23.5,1840.05,0.003469545106382979
US,V,2016-07-18,78.35,78.7,78.23,78.31,73.02,73.34,72.91,72.98,4864213.0,381342138.6675,0.9319371727748691,23.5,1840.285,23.5,1840.285,0.0020698778723404255
US,V,2016-07-19,77.75,78.89,77.63,78.72,72.46,73.52,72.34,73.36,9395544.0,735177829.14,0.931910569105691,23.5,1849.92,23.5,1849.92,0.003998103829787234
US,V,2016-07-20,78.75,79.75,78.75,79.36,73.39,74.32,73.39,73.96,7922144.0,627057502.96,0.9319556451612903,23.5,1864.96,23.5,1864.96,0.003371125106382979
US,V,2016-07-21,79.44,79.73,78.4,78.79,74.04,74.31,73.07,73.43,9227274.0,729785100.66,0.931971062317553,23.5,1851.565,23.5,1851.565,0.003926499574468085
US,V,2016-07-22,79.98,80.08,78.33,79.91,74.54,74.63,73.0,74.47,12532423.0,997267560.225,0.9319234138405706,23.5,1877.885,23.5,1877.885,0.005332945957446809
US,V,2016-07-25,80.17,80.17,78.73,78.94,74.72,74.72,73.37,73.57,7979900.0,634421999.75,0.9319736508740816,23.5,1855.09,23.5,1855.09,0.0033957021276595743
US,V,2016-07-26,78.98,79.06,77.94,78.49,73.61,73.68,72.64,73.15,9673200.0,760482801.0,0.9319658555229967,23.5,1844.515,23.5,1844.515,0.0041162553191489365
US,V,2016-07-27,78.46,78.79,77.53,78.53,73.12,73.43,72.26,73.19,10194400.0,798501866.0,0.9320005093594804,23.5,1845.455,23.5,1845.455,0.004338042553191489
US,V,2016-07-28,78.69,80.0,78.55,79.19,73.33,74.55,73.2,73.8,8709700.0,689002592.75,0.9319358504861724,23.5,1860.965,23.5,1860.965,0.0037062553191489363
US,V,2016-07-29,79.24,79.35,78.0,78.05,73.85,73.95,72.69,72.74,7777737.0,611796792.42,0.9319666880204996,23.5,1834.175,23.5,1834.175,0.003309675319148936
US,V,2016-08-01,78.31,78.53,77.73,78.26,72.98,73.18,72.44,72.93,8908838.0,696737947.885,0.9318936877076412,23.5,1839.11,23.5,1839.11,0.0037909948936170213
US,V,2016-08-02,78.07,78.47,77.75,78.28,72.75,73.13,72.46,72.95,7910000.0,618107175.0,0.9319110884006132,23.5,1839.58,23.5,1839.58,0.0033659574468085105
US,V,2016-08-03,78.28,78.71,78.21,78.71,72.95,73.35,72.88,73.35,7272723.0,570745119.2325,0.9319019184347606,23.5,1849.685,23.5,1849.685,0.003094775744680851
US,V,2016-08-04,78.83,79.65,78.75,79.48,73.46,74.23,73.39,74.07,5954400.0,471454506.0,0.9319325616507296,23.5,1867.78,23.5,1867.78,0.002533787234042553
US,V,2016-08-05,79.73,80.24,79.66,80.14,74.31,74.78,74.24,74.69,6662509.0,532617625.7325,0.9319940104816571,23.5,1883.29,23.5,1883.29,0.0028351102127659573
US,V,2016-08-08,80.23,80.34,79.8,79.95,74.77,74.87,74.37,74.51,5119724.0,409987497.92,0.9319574734208881,23.5,1878.825,23.5,1878.825,0.0021786059574468086
US,V,2016-08-09,79.96,80.48,79.95,80.06,74.52,75.0,74.51,74.61,4455700.0,356957266.25,0.9319260554584061,23.5,1881.41,23.5,1881.41,0.0018960425531914893
US,V,2016-08-10,79.97,80.22,79.51,79.68,74.53,74.76,74.1,74.26,5945500.0,474718447.5,0.9319779116465863,23.5,1872.48,23.5,1872.48,0.00253
US,V,2016-08-11,80.0,80.28,79.84,80.12,74.56,74.82,74.41,74.67,6577700.0,526610662.0,0.9319770344483275,23.5,1882.82,23.5,1882.82,0.0027990212765957446
US,V,2016-08-12,79.8,80.08,79.65,80.02,74.36,74.63,74.23,74.57,4420400.0,353134705.0,0.9318920269932517,23.5,1880.47,23.5,1880.47,0.0018810212765957447
US,V,2016-08-15,80.13,81.15,80.02,80.91,74.67,75.62,74.57,75.4,6290330.0,506701807.325,0.9318996415770611,23.5,1901.385,23.5,1901.385,0.002676736170212766
US,V,2016-08-16,80.42,80.91,80.22,80.81,74.95,75.4,74.76,75.31,6182600.0,498255734.0,0.9319391164459844,23.5,1899.035,23.5,1899.035,0.0026308936170212766
US,V,2016-08-17,80.71,80.86,80.4,80.84,75.35,75.49,75.06,75.47,4655400.0,375702418.5,0.9335724888668975,23.5,1899.74,23.5,1899.74,0.0019810212765957445
US,V,2016-08-18,80.01,80.59,79.91,80.27,74.7,75.24,74.6,74.94,7453931.0,597767996.545,0.9335991030272829,23.5,1886.345,23.5,1886.345,0.003171885531914894
US,V,2016-08-19,80.01,80.47,79.74,80.47,74.69,75.12,74.44,75.12,8480900.0,679934955.25,0.9335155958742389,23.5,1891.045,23.5,1891.045,0.0036088936170212767
US,V,2016-08-22,80.34,81.08,79.96,81.06,75.0,75.69,74.64,75.67,7954500.0,641212245.0,0.9335060449050087,23.5,1904.91,23.5,1904.91,0.0033848936170212764
US,V,2016-08-23,81.37,81.76,80.8,80.8,75.96,76.33,75.43,75.43,10007800.0,812458223.5,0.9335396039603961,23.5,1898.8,23.5,1898.8,0.00425863829787234
US,V,2016-08-24,80.8,80.98,80.19,80.29,75.44,75.6,74.87,74.96,5028000.0,405080820.0,0.9336156432930625,23.5,1886.815,23.5,1886.815,0.0021395744680851063
US,V,2016-08-25,80.29,80.52,80.0,80.32,74.95,75.17,74.68,74.98,5773700.0,463527070.25,0.9335159362549802,23.5,1887.52,23.5,1887.52,0.0024568936170212764
US,V,2016-08-26,80.62,81.14,80.17,80.57,75.27,75.75,74.85,75.22,7932220.0,639535237.5,0.9335981134417277,23.5,1893.395,23.5,1893.395,0.0033754127659574467
US,V,2016-08-29,80.54,80.99,80.54,80.87,75.19,75.61,75.19,75.5,4766700.0,384839524.5,0.9335971311982193,23.5,1900.445,23.5,1900.445,0.0020283829787234044
US,V,2016-08-30,81.0,81.19,80.72,81.17,75.62,75.8,75.36,75.78,4128700.0,334507274.0,0.9335961562153505,23.5,1907.495,23.5,1907.495,0.0017568936170212766
US,V,2016-08-31,80.95,81.2,80.71,80.9,75.58,75.81,75.35,75.53,7386100.0,597830934.0,0.9336217552533992,23.5,1901.15,23.5,1901.15,0.0031430212765957448
US,V,2016-09-01,81.14,81.55,80.97,81.3,75.75,76.13,75.59,75.9,6240600.0,506986344.0,0.9335793357933581,23.5,1910.55,23.5,1910.55,0.0026555744680851062
US,V,2016-09-02,81.57,82.15,81.5,82.0,76.15,76.69,76.08,76.55,6408900.0,524280064.5,0.9335365853658536,23.5,1927.0,23.5,1927.0,0.002727191489361702
US,V,2016-09-06,82.0,82.53,81.81,82.53,76.56,77.05,76.38,77.05,8140400.0,669283337.0,0.9335999030655519,23.5,1939.455,23.5,1939.455,0.003464
US,V,2016-09-07,82.48,83.26,82.36,83.24,77.0,77.73,76.89,77.71,9304730.0,770757309.55,0.9335655934646804,23.5,1956.14,23.5,1956.14,0.003959459574468085
US,V,2016-09-08,83.02,83.63,82.59,82.97,77.51,78.08,77.11,77.46,7961100.0,661189257.75,0.9335904543811016,23.5,1949.795,23.5,1949.795,0.0033877021276595746
US,V,2016-09-09,82.4,82.81,81.33,81.33,76.93,77.31,75.93,75.93,11563000.0,947790202.5,0.9336038362227961,23.5,1911.255,23.5,1911.255,0.004920425531914894
US,V,2016-09-12,81.34,83.13,81.18,82.97,75.94,77.61,75.79,77.46,9882701.0,811913300.655,0.9335904543811016,23.5,1949.795,23.5,1949.795,0.004205404680851064
US,V,2016-09-13,82.41,82.44,81.62,81.89,76.94,76.96,76.2,76.45,8834328.0,725209985.52,0.9335694223958969,23.5,1924.415,23.5,1924.415,0.0037592885106382977
US,V,2016-09-14,81.46,82.22,81.45,81.49,76.05,76.76,76.04,76.08,10999521.0,898165887.255,0.9336114860719107,23.5,1915.015,23.5,1915.015,0.004680647234042553
US,V,2016-09-15,81.42,82.13,81.19,82.01,76.01,76.67,75.79,76.56,10636516.0,868870400.75,0.9335446896719912,23.5,1927.235,23.5,1927.235,0.004526177021276596
US,V,2016-09-16,81.74,82.26,81.42,82.07,76.31,76.8,76.01,76.62,11702036.0,958074942.41,0.9335932740343611,23.5,1928.645,23.5,1928.645,0.004979589787234042
US,V,2016-09-19,82.43,83.04,82.23,82.51,76.96,77.52,76.77,77.03,8361700.0,690279239.25,0.9335838080232699,23.5,1938.985,23.5,1938.985,0.0035581702127659575
US,V,2016-09-20,82.97,83.23,82.32,82.48,77.46,77.7,76.85,77.0,6473300.0,535665575.0,0.9335596508244423,23.5,1938.28,23.5,1938.28,0.002754595744680851
US,V,2016-09-21,82.92,83.25,82.27,83.22,77.41,77.72,76.8,77.69,7536200.0,624864023.0,0.933549627493391,23.5,1955.67,23.5,1955.67,0.0032068936170212767
US,V,2016-09-22,83.42,83.79,83.2,83.36,77.88,78.22,77.67,77.82,6599440.0,550673772.2,0.9335412667946257,23.5,1958.96,23.5,1958.96,0.002808272340425532
US,V,2016-09-23,83.33,83.45,82.52,82.54,77.8,77.91,77.04,77.06,8283718.0,687217245.28,0.9336079476617397,23.5,1939.69,23.5,1939.69,0.0035249863829787233
US,V,2016-09-26,82.15,82.26,81.69,81.81,76.69,76.79,76.26,76.37,8486800.0,695726647.0,0.9335044615572669,23.5,1922.535,23.5,1922.535,0.003611404255319149
US,V,2016-09-27,81.79,82.38,81.5,82.16,76.35,76.91,76.08,76.7,7969500.0,653160296.25,0.9335443037974684,23.5,1930.76,23.5,1930.76,0.003391276595744681
US,V,2016-09-28,82.38,83.01,81.94,82.97,76.91,77.5,76.5,77.46,7974323.0,658479721.725,0.9335904543811016,23.5,1949.795,23.5,1949.795,0.0033933289361702127
